Message,From,Attachments,Category
Your account is compromised. Click here to reset your password now!,no-reply@secure.com.ru,report.zip,spam
"Hey, just checking in. Let’s catch up soon!",friend@gmail.com,,ham
Important! Verify your account to avoid suspension!,support@paypal.com,instructions.pdf,spam
Meeting update: Tomorrow at 10 AM in Conference Room B.,colleague@company.com,,ham
You won a prize! Claim your reward by clicking this link.,win@freegift.cn,,spam
Attached is the document you requested. Let me know if you need any further information.,client@trustedcompany.com,document.pdf,ham
Suspicious login detected! Verify your account by clicking here.,security@bankalert.xyz,,spam
Please find attached the sales report for Q3.,sales@ourcompany.com,report.xls,ham
Last chance to verify your account details before suspension!,support@secure-web.ru,instructions.doc,spam
Thank you for your recent purchase. Your receipt is attached.,support@store.com,receipt.pdf,ham
